ID,VALOR_CREDITO,SEXO,EDUCACAO,ESTADO_CIVIL,IDADE,FATURA_Semtembro,FATURA_Agosto,FATURA_Julho,FATURA_Junho,FATURA_Maio,FATURA_Abril,INADIMPLENTE
77,50000,Masculino,Ensino Médio,Solteiro(a),25,42838,37225,36087,9636,9590,10030,Não
78,300000,Feminino,Pós-Graduação,Casado(a),45,291,291,291,291,291,291,Não
79,30000,Feminino,Superior,Solteiro(a),22,28387,29612,30326,28004,26446,6411,Sim
80,240000,Feminino,Superior,Solteiro(a),44,0,0,0,0,0,0,Sim
81,470000,Feminino,Ensino Médio,Outros,33,165254,157784,162702,69923,29271,29889,Não
82,360000,Feminino,Pós-Graduação,Solteiro(a),26,23411,27796,30400,33100,180000,196,Não
83,60000,Masculino,Ensino Médio,Solteiro(a),30,26324,27471,28108,21993,19899,19771,Sim
84,400000,Feminino,Superior,Casado(a),44,131595,139060,126819,104430,104990,94058,Não
85,50000,Feminino,Ensino Médio,Solteiro(a),49,48909,47863,21489,20414,19342,19482,Não
86,160000,Masculino,Superior,Solteiro(a),33,130028,107808,71934,118418,118407,120418,Não
87,360000,Feminino,Pós-Graduação,Casado(a),45,390,1170,780,390,390,390,Sim
88,160000,Feminino,Superior,Solteiro(a),32,3826,4751,6604,8604,7072,766,Não
89,130000,Feminino,Pós-Graduação,Casado(a),35,81313,117866,17740,1330,7095,1190,Não
90,20000,Masculino,Ensino Médio,Solteiro(a),44,8583,8303,9651,10488,12314,11970,Não
91,200000,Masculino,Pós-Graduação,Casado(a),53,138180,140774,142460,144098,147124,149531,Sim
92,280000,Feminino,Pós-Graduação,Solteiro(a),39,7524,0,3968,3868,0,0,Não
93,100000,Feminino,Pós-Graduação,Solteiro(a),27,-2000,5555,0,0,0,0,Não
94,160000,Feminino,Superior,Casado(a),37,880,1602,840,840,0,0,Não
95,60000,Feminino,Superior,Solteiro(a),23,45648,46850,47214,19595,19209,19323,Não
96,90000,Masculino,Superior,Solteiro(a),35,83725,85996,87653,35565,30942,30835,Não
97,360000,Masculino,Pós-Graduação,Casado(a),43,3967,8322,3394,6451,26370,9956,Não
98,150000,Masculino,Pós-Graduação,Solteiro(a),27,86009,86108,89006,89775,87725,40788,Não
99,50000,Feminino,Ensino Médio,Casado(a),22,18722,18160,16997,13150,8866,7899,Não
100,20000,Masculino,Superior,Casado(a),38,17973,19367,19559,18240,17928,150,Sim
101,140000,Masculino,Pós-Graduação,Solteiro(a),32,672,10212,850,415,100,1430,Não
102,380000,Feminino,Pós-Graduação,Solteiro(a),30,-81,-303,32475,32891,33564,34056,Não
103,480000,Masculino,Pós-Graduação,Casado(a),63,422069,431342,479432,487066,471145,469961,Não
104,50000,Feminino,Ensino Médio,Solteiro(a),22,44698,42254,38347,32496,23477,24094,Sim
105,60000,Feminino,Superior,Solteiro(a),26,56685,55208,59175,60218,55447,55305,Não
106,70000,Feminino,Superior,Solteiro(a),24,5580,0,0,0,0,26529,Não
107,80000,Feminino,Superior,Casado(a),36,6108,2861,3277,3319,1150,1150,Não
108,350000,Masculino,Pós-Graduação,Solteiro(a),52,713,2272,722,867,1150,5263,Não
109,130000,Masculino,Superior,Solteiro(a),38,171438,178382,39940,120483,44127,126568,Não
110,360000,Masculino,Superior,Casado(a),35,-103,-103,-103,-103,-103,-103,Não
111,330000,Feminino,Pós-Graduação,Casado(a),31,105879,108431,105594,105896,106491,107289,Não
112,50000,Masculino,Ensino Médio,Casado(a),47,13244,14722,15181,15928,16671,17393,Não
113,280000,Masculino,Superior,Casado(a),41,135673,138532,134813,144401,152174,149415,Não
114,100000,Feminino,Pós-Graduação,Solteiro(a),24,52128,52692,54477,56076,60100,59713,Não
115,50000,Masculino,Superior,Solteiro(a),41,19015,19294,20259,20274,20311,19957,Não
116,30000,Masculino,Pós-Graduação,Solteiro(a),24,18199,17618,18631,21319,20692,21201,Sim
117,240000,Masculino,Pós-Graduação,Solteiro(a),28,326,326,326,5676,476,326,Não
118,80000,Masculino,Superior,Solteiro(a),26,14029,15493,16630,17055,17629,18186,Sim
119,400000,Masculino,Superior,Casado(a),34,19660,9666,11867,7839,14837,7959,Não
120,240000,Feminino,Superior,Solteiro(a),38,50254,51445,53015,52479,1307,1203,Não
121,50000,Masculino,Ensino Médio,Solteiro(a),37,46004,45976,48953,48851,49318,51143,Sim
122,450000,Masculino,Pós-Graduação,Casado(a),40,0,0,0,0,0,0,Sim
123,110000,Feminino,Pós-Graduação,Casado(a),48,0,0,0,0,0,0,Não
124,310000,Feminino,Superior,Casado(a),35,304991,311243,306314,258610,246491,198889,Sim
125,20000,Masculino,Pós-Graduação,Solteiro(a),27,19115,18962,19298,19378,19717,15630,Não
126,20000,Masculino,Superior,Solteiro(a),23,0,0,0,0,0,0,Não
127,200000,Masculino,Ensino Médio,Solteiro(a),52,110151,99530,98951,100914,103146,104993,Não
128,180000,Masculino,Pós-Graduação,Casado(a),36,163736,116422,99278,95766,97753,95927,Sim
129,50000,Masculino,Superior,Casado(a),51,3347,3899,4503,5347,6375,7077,Sim
130,60000,Masculino,Ensino Médio,Casado(a),55,60521,61450,57244,28853,29510,26547,Não
131,30000,Feminino,Pós-Graduação,Solteiro(a),23,4000,5645,3508,-27,13744,5906,Não
132,240000,Masculino,Pós-Graduação,Solteiro(a),41,95,2622,3301,3164,360,1737,Não
133,420000,Masculino,Superior,Casado(a),34,253454,247743,229049,220951,210606,188108,Não
134,330000,Masculino,Ensino Médio,Casado(a),46,227389,228719,229644,227587,227775,228203,Não
135,30000,Feminino,Superior,Solteiro(a),22,28452,26145,26712,25350,17603,-780,Não
136,240000,Masculino,Superior,Casado(a),34,10674,12035,13681,13269,14158,13891,Não
137,150000,Masculino,Pós-Graduação,Solteiro(a),27,17444,19342,22000,24614,27200,30229,Não
138,210000,Feminino,Superior,Casado(a),33,7166,7997,8792,9189,4404,5708,Não
139,50000,Feminino,Ensino Médio,Casado(a),51,752,300,5880,0,0,0,Sim
140,50000,Masculino,Pós-Graduação,Solteiro(a),24,50801,50143,49586,19430,19375,18995,Não
141,240000,Masculino,Pós-Graduação,Solteiro(a),47,0,0,0,0,0,0,Sim
142,180000,Masculino,Superior,Solteiro(a),28,1832,0,832,332,416,416,Não
143,50000,Masculino,Superior,Solteiro(a),23,10131,10833,20583,19996,19879,18065,Não
144,170000,Masculino,Superior,Solteiro(a),29,12159,10000,10000,10000,9983,15846,Não
145,20000,Masculino,Pós-Graduação,Solteiro(a),29,1199,15586,344,2340,6702,339,Não
146,50000,Masculino,Pós-Graduação,Solteiro(a),28,4999,5913,7315,9195,10624,10138,Não
147,170000,Feminino,Superior,Solteiro(a),27,19269,20313,20852,17560,17918,9100,Sim
148,200000,Masculino,Pós-Graduação,Solteiro(a),34,197236,176192,93069,135668,132233,59875,Não
149,80000,Feminino,Superior,Casado(a),23,9168,10522,10205,9898,10123,12034,Não
150,260000,Feminino,Pós-Graduação,Casado(a),60,-1100,-1100,21400,0,969,869,Não
151,140000,Masculino,Superior,Casado(a),32,86627,78142,68336,64648,58319,55251,Não
152,80000,Masculino,Pós-Graduação,Solteiro(a),25,42444,55744,43476,41087,41951,31826,Não
153,350000,Masculino,Pós-Graduação,Solteiro(a),41,208,2906,1000,630,0,0,Não
154,280000,Feminino,Superior,Casado(a),56,208775,182350,132257,101783,177145,169311,Não
155,30000,Feminino,Ensino Médio,Solteiro(a),26,9014,10406,11427,11935,13084,14206,Não
156,140000,Masculino,Pós-Graduação,Casado(a),34,23944,28049,32073,43129,47086,48699,Não
157,200000,Feminino,Pós-Graduação,Solteiro(a),37,105420,102870,89643,90938,92505,94031,Não
158,200000,Feminino,Ensino Médio,Solteiro(a),30,196031,196143,189524,167163,146975,122324,Não
159,210000,Masculino,Ensino Médio,Casado(a),45,115785,122904,129847,137277,145533,154105,Sim
160,50000,Masculino,Ensino Médio,Casado(a),57,12854,12362,13447,13427,13711,14083,Não
161,30000,Masculino,Pós-Graduação,Solteiro(a),41,24357,27453,26718,28168,27579,28321,Não
162,50000,Masculino,Superior,Solteiro(a),27,390,390,780,216,1080,540,Não
163,290000,Masculino,Ensino Médio,Casado(a),47,1234,396,396,792,396,423,Não
164,250000,Feminino,Pós-Graduação,Casado(a),34,141223,156858,151841,152803,155997,160220,Não
165,60000,Feminino,Superior,Casado(a),46,21148,23803,24908,26034,26655,27756,Não
166,110000,Feminino,Pós-Graduação,Solteiro(a),27,101640,104795,104855,74737,76058,77254,Não
167,370000,Masculino,Pós-Graduação,Solteiro(a),50,6093,15130,8204,15398,4792,13453,Não
168,100000,Masculino,Superior,Casado(a),27,102349,96847,58824,29336,22979,-246,Não
169,90000,Feminino,Superior,Casado(a),35,72112,73854,75526,77317,85852,88290,Não
170,50000,Feminino,Superior,Solteiro(a),22,28040,29092,29366,27737,28318,28806,Não
171,270000,Masculino,Superior,Solteiro(a),37,37695,33397,30534,27598,26344,24641,Não
172,300000,Feminino,Pós-Graduação,Solteiro(a),30,688,3280,0,4340,2672,800,Não
173,50000,Feminino,Superior,Solteiro(a),22,8567,15273,11650,7457,3115,7725,Não
174,50000,Feminino,Pós-Graduação,Solteiro(a),24,-709,-709,-709,-2898,-3272,-3272,Sim
175,360000,Masculino,Pós-Graduação,Solteiro(a),29,0,0,77,0,0,0,Não
176,130000,Masculino,Ensino Médio,Casado(a),56,64617,65978,67282,68557,72796,71345,Sim
177,80000,Masculino,Pós-Graduação,Solteiro(a),30,6187,100,600,1438,1919,5380,Não
178,50000,Masculino,Superior,Solteiro(a),30,48860,47801,48363,30221,22877,22361,Não
179,20000,Feminino,Superior,Solteiro(a),22,16001,12622,13221,13130,14034,14906,Não
180,80000,Feminino,Superior,Casado(a),29,77883,81811,80250,61467,10662,11486,Não
181,240000,Masculino,Pós-Graduação,Solteiro(a),37,12212,26578,25331,26605,26279,1256,Não
182,80000,Feminino,Ensino Médio,Solteiro(a),35,49608,12412,14873,17364,17770,17460,Não
183,500000,Feminino,Pós-Graduação,Casado(a),47,56422,110616,110340,122967,108834,70064,Não
184,60000,Feminino,Superior,Casado(a),24,58024,57891,48839,18971,19323,19395,Sim
185,20000,Masculino,Superior,Solteiro(a),25,10642,11677,13070,12280,1615,1620,Não
186,100000,Feminino,Superior,Casado(a),38,14483,13961,15323,16268,15868,16448,Sim
187,360000,Feminino,Pós-Graduação,Solteiro(a),32,2616,57077,5287,68445,13881,16240,Não
188,200000,Feminino,Ensino Médio,Solteiro(a),47,199436,202947,193936,196186,200162,189915,Sim
189,130000,Feminino,Superior,Casado(a),34,0,5396,10270,13576,13864,14636,Não
190,20000,Feminino,Superior,Solteiro(a),31,21703,21087,21461,20835,20219,20487,Não
191,310000,Masculino,Pós-Graduação,Solteiro(a),32,59901,62147,62102,65875,60387,43328,Não
192,60000,Feminino,Pós-Graduação,Solteiro(a),27,19625,20347,21669,23005,22499,22873,Sim
193,180000,Feminino,Pós-Graduação,Solteiro(a),29,11386,199,0,0,17227,17042,Não
194,180000,Feminino,Pós-Graduação,Solteiro(a),24,14670,22087,21282,10200,0,0,Não
195,50000,Masculino,Superior,Casado(a),36,47790,18114,18250,-14,72,658,Não
196,50000,Feminino,Pós-Graduação,Solteiro(a),24,36166,37188,37680,38462,39228,40035,Sim
197,150000,Feminino,Superior,Casado(a),34,0,0,0,116,0,1500,Não
198,20000,Feminino,Pós-Graduação,Solteiro(a),22,18553,19446,19065,8332,18868,19247,Não
199,500000,Feminino,Pós-Graduação,Casado(a),34,412,138,2299,1251,1206,1151,Não
200,30000,Feminino,Ensino Médio,Solteiro(a),22,29010,29256,28122,29836,1630,0,Sim
201,180000,Feminino,Pós-Graduação,Casado(a),38,750,0,0,0,0,0,Não
202,140000,Masculino,Pós-Graduação,Solteiro(a),31,27123,27299,17985,20225,27407,10833,Não
203,140000,Feminino,Pós-Graduação,Solteiro(a),26,13424,18000,13001,5818,13506,487,Não
204,120000,Masculino,Superior,Solteiro(a),26,107314,110578,113736,116000,119131,122135,Não
205,360000,Feminino,Superior,Casado(a),48,226430,231878,234192,190211,173557,146511,Não
206,20000,Masculino,Ensino Médio,Casado(a),43,227,20351,20237,19339,19450,19337,Não
207,100000,Masculino,Pós-Graduação,Casado(a),47,390,1473,390,390,390,0,Não
208,210000,Feminino,Superior,Casado(a),41,3088,1586,343,3763,877,0,Sim
209,80000,Feminino,Superior,Solteiro(a),24,81625,81554,79599,49552,49509,49568,Sim
210,330000,Feminino,Pós-Graduação,Casado(a),50,8872,4337,2854,1690,0,1709,Não
211,220000,Masculino,Pós-Graduação,Solteiro(a),24,105607,108917,111520,8303,0,85632,Não
212,210000,Feminino,Pós-Graduação,Casado(a),38,0,0,250,123,789,1222,Sim
213,40000,Feminino,Ensino Médio,Casado(a),43,38257,38901,38103,36207,33138,31339,Não
214,30000,Masculino,Superior,Solteiro(a),39,28347,28108,18388,12992,7736,8032,Não
215,470000,Masculino,Superior,Solteiro(a),27,296573,303320,307843,479978,305145,309959,Não
216,30000,Masculino,Ensino Médio,Casado(a),42,390,390,390,240,1320,780,Não
217,240000,Feminino,Superior,Casado(a),36,-946,-946,-946,-946,-946,-946,Sim
218,80000,Masculino,Superior,Solteiro(a),36,79278,78501,78534,80016,76235,78245,Não
219,110000,Feminino,Ensino Médio,,31,89989,84229,79288,73315,63818,63208,Não
220,310000,Feminino,Pós-Graduação,Solteiro(a),38,1424,4542,126,0,0,0,Não
221,360000,Feminino,Pós-Graduação,Casado(a),40,105167,115468,112157,114690,117845,120238,Sim
222,330000,Feminino,Ensino Médio,Solteiro(a),45,335196,334954,335527,333860,335760,330121,Não
223,300000,Feminino,Superior,Solteiro(a),35,291619,297268,205629,215827,208464,212508,Não
224,320000,Feminino,Superior,Solteiro(a),33,91653,94037,108597,65913,43805,33263,Não
225,50000,Feminino,Ensino Médio,Solteiro(a),37,52626,51537,49205,30394,30249,29957,Sim
226,170000,Feminino,Pós-Graduação,Solteiro(a),28,130370,131199,128900,125514,127280,128839,Não
227,350000,Masculino,Ensino Médio,Casado(a),44,3265,2686,1864,569,0,0,Não
228,20000,Masculino,Superior,Casado(a),37,16455,16511,18902,18768,18650,19175,Não
229,50000,Masculino,Superior,Solteiro(a),23,49758,48456,44116,21247,20066,18858,Sim
230,20000,Feminino,Ensino Médio,Solteiro(a),24,19154,18165,17233,7630,1730,0,Não
231,50000,Feminino,Pós-Graduação,Solteiro(a),24,35084,35796,30937,19420,10385,1308,Não
232,20000,Masculino,Superior,Solteiro(a),23,20235,17132,16856,16875,13454,10104,Sim
233,50000,Masculino,Superior,Casado(a),26,102800,0,0,2624,45567,46557,Não
234,190000,Masculino,Superior,Solteiro(a),34,129801,131383,134379,142323,140120,150052,Sim
235,60000,Feminino,Superior,Casado(a),33,58203,36367,20934,20694,20175,19421,Não
236,80000,Masculino,Pós-Graduação,Solteiro(a),35,7988,3977,6848,1719,1378,19942,Não
237,150000,Feminino,Superior,Solteiro(a),27,127402,110050,51547,44384,36900,29497,Não
238,210000,Feminino,Pós-Graduação,Solteiro(a),31,1440,0,7422,893,6082,2293,Não
239,240000,Feminino,Ensino Médio,Casado(a),50,234205,231669,214642,207642,210375,214694,Sim
240,140000,Feminino,Superior,Outros,41,19346,21708,22940,19068,16409,16383,Sim
241,60000,Feminino,Pós-Graduação,Solteiro(a),28,21501,20650,0,0,0,2285,Não
242,50000,Masculino,Pós-Graduação,Solteiro(a),39,47174,47974,48630,50803,30789,15874,Não
243,50000,Feminino,Superior,Solteiro(a),27,26655,27724,28676,27990,28790,29399,Não
244,180000,Feminino,Pós-Graduação,Solteiro(a),32,3139,5853,2821,0,2821,0,Não
245,30000,Feminino,Pós-Graduação,Solteiro(a),40,142,215,139,19,19,79,Não
246,20000,Feminino,Superior,Solteiro(a),40,19816,20396,20102,19575,0,0,Não
247,250000,Feminino,Superior,Casado(a),75,52874,1631,1536,1010,5572,794,Não
248,100000,Feminino,Superior,Solteiro(a),27,37767,34457,30036,30337,30997,32904,Não
249,330000,Masculino,Pós-Graduação,Solteiro(a),25,46140,45781,48139,51137,39450,25358,Não
250,50000,Masculino,Ensino Médio,Casado(a),46,35713,15392,16099,16418,16765,17484,Não
251,50000,Feminino,Superior,Solteiro(a),26,50867,51486,48869,30115,29527,29998,Não
252,30000,Masculino,Superior,Solteiro(a),28,29242,29507,29155,25255,22001,0,Não
253,140000,Feminino,Superior,Solteiro(a),26,101551,105246,104781,105334,107699,106828,Sim
254,160000,Feminino,Pós-Graduação,Solteiro(a),28,70243,47779,28052,7222,99669,84426,Não
255,400000,Feminino,Superior,Solteiro(a),29,19532,3719,1453,4944,1896,2486,Não
256,50000,Masculino,Superior,Casado(a),25,27699,28513,29341,29928,29533,28538,Não
257,140000,Feminino,Superior,Casado(a),48,1154,1233,862,1355,1130,21361,Não
258,160000,Feminino,Superior,Casado(a),33,8015,2453,9624,52572,7333,2210,Não
259,100000,Feminino,Ensino Médio,Casado(a),43,62170,0,0,0,0,0,Não
260,220000,Masculino,Pós-Graduação,Casado(a),48,210380,213522,201852,169115,172169,162402,Sim
261,510000,Feminino,Pós-Graduação,Solteiro(a),29,78331,99414,107686,103776,87265,36739,Não
262,50000,Masculino,Superior,Solteiro(a),29,49276,35100,32563,27823,29130,28309,Não
263,160000,Feminino,Pós-Graduação,Casado(a),38,4473,4664,5969,18941,16578,12652,Não
264,230000,Feminino,Pós-Graduação,Solteiro(a),37,2283,50815,0,0,299,338,Não
265,80000,Feminino,Pós-Graduação,Solteiro(a),37,10115,249,5986,188,1644,16872,Não
266,150000,Feminino,Superior,Casado(a),25,6156,0,0,316,316,316,Não
267,10000,Masculino,Ensino Médio,Solteiro(a),23,6974,7838,9002,9182,9729,9411,Não
268,130000,Feminino,Ensino Médio,Solteiro(a),49,89003,91362,72197,49654,28065,27500,Sim
269,40000,Feminino,Pós-Graduação,Solteiro(a),48,34871,34449,33634,34586,34762,35673,Não
270,50000,Masculino,Superior,Solteiro(a),27,13694,14880,14242,13968,14319,2614,Sim
271,100000,Masculino,Ensino Médio,Solteiro(a),32,70003,31545,20974,19713,19848,18126,Não
272,120000,Masculino,Pós-Graduação,Casado(a),34,1082,632,1350,900,450,0,Não
273,260000,Feminino,Pós-Graduação,Solteiro(a),58,0,0,0,0,0,0,Sim
274,200000,Feminino,Superior,Solteiro(a),33,11253,12852,14024,14512,16325,11905,Não
275,360000,Feminino,Superior,Solteiro(a),28,0,0,0,0,0,0,Sim
276,70000,Feminino,Superior,Solteiro(a),36,68699,69120,68376,30163,14310,15085,Não
277,460000,Masculino,Pós-Graduação,Casado(a),40,171,2715,-13,2641,-10,22535,Sim
278,50000,Feminino,Pós-Graduação,Solteiro(a),26,1156,316,316,316,316,316,Não
279,50000,Masculino,Ensino Médio,Casado(a),33,50859,50462,50654,20046,20067,19703,Não
280,250000,Feminino,Superior,Casado(a),31,103109,102594,97109,99029,100871,101299,Não
281,30000,Feminino,Pós-Graduação,Solteiro(a),27,1512,2458,664,1814,0,0,Não
282,270000,Masculino,Superior,Casado(a),44,127543,109189,92630,69669,44149,43414,Não
283,180000,Feminino,Ensino Médio,Solteiro(a),30,163935,153152,147032,122196,103692,70204,Não
284,100000,Feminino,Pós-Graduação,Solteiro(a),28,53494,52656,52600,52336,55831,56265,Não
285,230000,Feminino,Ensino Médio,Casado(a),32,195126,88743,92195,94814,98182,98457,Não
286,210000,Feminino,Pós-Graduação,Casado(a),46,110346,41986,21874,20076,16171,586,Não
287,210000,Masculino,Pós-Graduação,Solteiro(a),38,60502,62804,62769,62683,63663,46549,Não
288,440000,Feminino,Superior,Casado(a),46,180641,181557,149944,113135,105280,97622,Não
289,100000,Feminino,Superior,Solteiro(a),25,70896,71678,70125,69856,69718,51365,Sim
290,240000,Feminino,Superior,Casado(a),46,8751,9900,10605,10765,11765,4311,Não
291,280000,Masculino,Pós-Graduação,Solteiro(a),33,898,898,325,898,325,-339603,Sim
292,50000,Feminino,Superior,Solteiro(a),22,0,0,0,0,0,0,Sim
293,30000,Masculino,Superior,Casado(a),43,1700,2610,1914,2182,2000,2566,Não
294,10000,Masculino,Superior,Solteiro(a),27,7015,10227,9560,9901,9963,10182,Sim
295,130000,Masculino,Pós-Graduação,Solteiro(a),29,0,0,0,0,0,0,Não
296,200000,Masculino,Pós-Graduação,Solteiro(a),31,194353,197344,186292,133345,133634,133990,Não
297,120000,Feminino,Superior,Casado(a),29,1686,657,2179,1423,0,1820,Não
298,210000,Feminino,Superior,Casado(a),36,143225,142996,144415,148190,147993,131629,Não
299,280000,Feminino,Pós-Graduação,Casado(a),36,58983,60788,63225,29701,30172,30771,Não
